GPSDate&Time,#ofSats,HDOP,Latitude,Longitude,Altitude(m),Speed(m/s),Heading(Deg),Marker,Value
2020/09/29-16:25:00:00,0,3.9,40.0640613,-105.2067739,1565.400024,18.333681,355.08704,Data Log,TRUE
2020/09/29-16:25:01:00,0,3.9,40.0642274,-105.2067771,1565.400024,18.388174,355.00366,,
2020/09/29-16:25:02:00,0,3.9,40.0643977,-105.206778,1565.400024,18.600264,356.9618,,
2020/09/29-16:25:03:00,0,3.9,40.0645665,-105.2067752,1565.400024,18.372694,357.98306,RP,
2020/09/29-16:25:04:00,0,3.9,40.0647276,-105.2067716,1565.400024,17.989452,358.9838,,
2020/09/29-16:25:05:00,0,3.9,40.0648849,-105.2067683,1565.400024,17.463062,355.0784,,
2020/09/29-16:25:06:00,0,3.9,40.06504,-105.206767,1565.400024,17.33419,356.97,,
2020/09/29-16:25:07:00,0,3.9,40.0651927,-105.2067575,1565.400024,16.755907,357.00433,,
2020/09/29-16:25:08:00,0,3.9,40.0653387,-105.2067502,1565.400024,15.717289,356.0267,,
2020/09/29-16:25:09:00,0,3.9,40.0654747,-105.206749,1565.400024,15.6071415,351.09088,LC,2
2020/09/29-16:25:10:00,0,3.9,40.0656122,-105.2067578,1565.400024,15.699436,356.90265,,
2020/09/29-16:25:11:00,0,3.9,40.0657541,-105.2067533,1565.400024,15.786738,355.03442,,
2020/09/29-16:25:12:00,0,3.9,40.0658964,-105.206756,1565.400024,16.022861,350.09204,,
2020/09/29-16:25:13:00,0,3.9,40.0660401,-105.2067677,1565.400024,16.232067,349.02155,,
2020/09/29-16:25:14:00,0,3.9,40.0661877,-105.2067782,1565.400024,16.458982,349.98126,,
2020/09/29-16:25:15:00,0,3.9,40.0663374,-105.206783,1565.400024,16.593245,350.98282,,
2020/09/29-16:25:16:00,0,3.9,40.0664885,-105.2067831,1565.400024,16.181355,340.2931,,
2020/09/29-16:25:17:00,0,3.9,40.0666252,-105.2067997,1565.400024,14.817985,334.242,,
2020/09/29-16:25:18:00,0,3.9,40.0667472,-105.2068104,1565.400024,13.503541,359.1377,,
2020/09/29-16:25:19:00,0,3.9,40.0668585,-105.2067779,1565.400024,11.581568,342.42355,,
2020/09/29-16:25:20:00,0,3.9,40.0669506,-105.2067821,1565.400024,10.022673,342.08878,,
2020/09/29-16:25:21:00,0,3.9,40.0670316,-105.2067813,1565.400024,9.018648,343.0451,,
2020/09/29-16:25:22:00,0,3.9,40.0671065,-105.2067785,1565.400024,8.121807,347.99402,,
2020/09/29-16:25:23:00,0,3.9,40.0671692,-105.2067652,1565.400024,6.843041,359.9328,,
2020/09/29-16:25:24:00,0,3.9,40.0672186,-105.2067252,1565.400024,6.305987,41.79509,,
2020/09/29-16:25:25:00,0,3.763,40.067244,-105.2066419,1565.400024,6.2503633,63.560097,,
2020/09/29-16:25:26:00,0,3.763,40.0672485,-105.2065495,1565.400024,7.072816,69.85951,,
2020/09/29-16:25:27:00,0,3.763,40.067248,-105.2064457,1565.400024,8.343977,68.94181,,
2020/09/29-16:25:28:00,0,3.763,40.0672507,-105.2063277,1565.400024,9.873577,67.95229,,
2020/09/29-16:25:29:00,0,3.763,40.0672581,-105.2061925,1565.400024,11.361063,69.91789,,
2020/09/29-16:25:30:00,0,3.9,40.0672623,-105.2060389,1565.400024,12.635435,66.06745,,
2020/09/29-16:25:31:00,0,3.9,40.0672714,-105.2058804,1565.400024,12.810869,76.75901,,
2020/09/29-16:25:32:00,0,3.9,40.0672669,-105.2057214,1565.400024,12.548416,73.109085,,
2020/09/29-16:25:33:00,0,3.9,40.0672694,-105.2055691,1565.400024,12.484555,73.01451,,
2020/09/29-16:25:34:00,0,3.9,40.0672711,-105.2054197,1555.133301,12.337735,73.01447,LO,2
2020/09/29-16:25:35:00,0,3.9,40.0672705,-105.2052717,1555.446045,12.583745,76.9236,,
2020/09/29-16:25:36:00,0,3.9,40.0672657,-105.2051227,1555.240479,12.530543,78.96901,,
2020/09/29-16:25:37:00,0,3.9,40.0672603,-105.204975,1555.282715,12.388299,79.009346,,
2020/09/29-16:25:38:00,0,3.9,40.0672583,-105.2048264,1555.328125,12.484529,79.98516,,
2020/09/29-16:25:39:00,0,3.9,40.0672553,-105.2046783,1555.4021,12.5645685,81.97133,,
2020/09/29-16:25:40:00,0,3.9,40.067251,-105.20453,1555.481689,12.453132,84.96126,,
2020/09/29-16:25:41:00,0,3.9,40.0672436,-105.2043863,1554.904297,12.372324,87.96159,,
2020/09/29-16:25:42:00,0,3.9,40.0672348,-105.2042401,1554.820557,12.304637,91.94691,,
2020/09/29-16:25:43:00,0,3.9,40.0672263,-105.2040971,1554.735107,12.072252,93.968666,,
2020/09/29-16:25:44:00,0,3.9,40.0672192,-105.2039555,1555.01709,12.136479,94.0004,,
2020/09/29-16:25:45:00,0,3.9,40.067213,-105.2038141,1554.916504,12.044061,93.01208,,
2020/09/29-16:25:46:00,0,3.9,40.0672116,-105.2036717,1555.075439,12.306216,88.062195,,
2020/09/29-16:25:47:00,0,3.9,40.0672184,-105.203526,1555.266113,12.38743,85.04144,,
2020/09/29-16:25:48:00,0,3.9,40.0672313,-105.203382,1555.449707,12.287962,81.06227,,
2020/09/29-16:25:49:00,0,3.9,40.0672552,-105.2032372,1554.655762,12.641358,75.086334,,
2020/09/29-16:25:50:00,0,3.9,40.0672884,-105.203096,1554.193848,12.922573,72.04773,,
2020/09/29-16:25:51:00,0,3.9,40.0673302,-105.2029541,1553.625,13.053755,66.13372,,
2020/09/29-16:25:52:00,0,3.9,40.0673851,-105.2028158,1553.621582,13.242409,58.239574,,
2020/09/29-16:25:53:00,0,3.9,40.0674546,-105.2026883,1553.393799,13.040956,47.34334,,
2020/09/29-16:25:54:00,0,3.9,40.0675363,-105.2025776,1554.012939,12.853623,43.131298,,
2020/09/29-16:25:55:00,0,3.9,40.0676218,-105.2024773,1553.475586,12.845978,39.11835,,
2020/09/29-16:25:56:00,0,3.9,40.0677133,-105.2023852,1553.186035,12.843908,35.115273,,
2020/09/29-16:25:57:00,0,3.9,40.0678109,-105.202303,1552.709229,12.795726,32.089195,,
2020/09/29-16:25:58:00,0,3.9,40.0679096,-105.202234,1552.733643,12.732978,28.105469,,
2020/09/29-16:25:59:00,0,3.9,40.068017,-105.2021789,1552.744141,12.707405,22.125912,,
2020/09/29-16:26:00:00,0,3.9,40.0681289,-105.2021415,1552.859131,12.57318,16.100313,,
2020/09/29-16:26:01:00,0,3.9,40.0682428,-105.2021186,1553.112793,12.723773,10.090415,,
2020/09/29-16:26:02:00,0,3.9,40.0683602,-105.2021123,1552.869629,12.772584,5.0645995,,
2020/09/29-16:26:03:00,0,3.9,40.0684777,-105.2021161,1552.699219,12.826943,3.0241208,,
2020/09/29-16:26:04:00,0,3.9,40.0685944,-105.2021196,1552.63208,12.992244,2.012688,,
2020/09/29-16:26:05:00,0,3.9,40.068715,-105.2021228,1552.571533,13.521585,1.0132837,,
2020/09/29-16:26:06:00,0,3.9,40.068839,-105.2021246,1552.793457,13.84387,3.9646413,,
2020/09/29-16:26:07:00,0,3.9,40.0689674,-105.2021213,1552.646484,14.223304,4.002265,,
2020/09/29-16:26:08:00,0,3.9,40.0690966,-105.2021195,1552.224854,14.287475,3.9998424,,
2020/09/29-16:26:09:00,0,3.9,40.069226,-105.2021182,1551.660645,14.175236,3.998262,,
2020/09/29-16:26:10:00,0,3.9,40.0693544,-105.2021165,1551.288818,14.256355,4.000129,,
2020/09/29-16:26:11:00,0,3.9,40.0694844,-105.2021157,1551.778809,14.260492,3.0115445,,
2020/09/29-16:26:12:00,0,3.9,40.0696157,-105.2021189,1551.991211,14.375298,3.0001693,,
2020/09/29-16:26:13:00,0,3.9,40.0697477,-105.2021223,1552.152344,14.208673,2.9979398,Data Log,FALSE
